shock_event,shock_node,shock_date,target_node,target_country,observation_date,months_after_shock,shock_yoy_dev,shock_value,shock_expected,shock_dev_abs,shock_dev_pct,shock_dev_z,shock_dev_abs_weighted,shock_resid_std,shock_yoy_actual,shock_yoy_expected,shock_logyoy_actual,shock_logyoy_expected,shock_logyoy_dev,export_baseline,export_observed,yoy_change,prop_expected,prop_dev_abs,prop_dev_pct,prop_dev_z,prop_resid_std,prop_yoy_actual,prop_yoy_expected,prop_yoy_dev,prop_logyoy_actual,prop_logyoy_expected,prop_logyoy_dev,icio_edge_value,supplier_hhi,shocked_supplier_share,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-09,6,-0.0846974651727367,-15779258.361189213,373819423.3010459,-24128883.30104595,-0.0645468956320505,,-15779258.36118921,0.0,0.2274874872307747,0.3121849524035115,0.204969386282027,0.2716936495712119,-0.0667242632891849,6252547111.0,7517199061.0,0.2022618826454133,7367264865.770729,149934195.22927094,0.0203514055705917,,0.0,0.2022618826454133,0.1782821840413845,0.0239796986040287,0.18420468477251,0.1640576015455082,0.0201470832270018,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-10,7,-0.2987453105653487,-69371608.79991978,465936098.1497625,-106079729.14976253,-0.2276701238023976,,-69371608.79991978,0.0,0.013439641838154,0.3121849524035027,0.013350130918738,0.27169364973631,-0.258343518817572,6420225582.0,7752890524.0,0.2075729154651999,7564837420.797338,188053103.20266247,0.0248588426613987,,0.0,0.2075729154651999,0.1782821840413858,0.029290731423814,0.1886124901731136,0.1640576015461405,0.024554888626973,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-11,8,-0.0544174729348624,-13644514.008022895,492379263.8636182,-20864534.863618195,-0.0423749259867234,,-13644514.008022891,0.0,0.2297729219206247,0.2841903948554872,0.2068295355286338,0.2501284762955471,-0.0432989407669133,6564068733.0,7656225084.0,0.166384051633909,7707688545.227222,-51463461.22722244,-0.006676899426494,,0.0,0.166384051633909,0.1742242287131795,-0.0078401770792704,0.153908409003673,0.1606076986427282,-0.0066992896390551,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2011-12,9,-0.3234620606485824,-78457484.55060951,486694815.5459456,-119973413.54594558,-0.24650645479214,,-78457484.55060951,0.0,-0.0112771082450718,0.3121849524035106,-0.0113411769281199,0.2716936497648952,-0.2830348266930151,6106268937.0,7098680821.0,0.1625234483182737,7194907899.432436,-96227078.432436,-0.0133743308152737,,0.0,0.1625234483182737,0.1782821840413865,-0.0157587357231128,0.1505930288494212,0.1640576015449291,-0.0134645726955078,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2012-01,10,-0.1364198868057087,-24273722.430778384,374020049.3864957,-37118209.38649565,-0.0992412290394073,,-24273722.43077839,0.0,0.2382092680946031,0.3746291549003119,0.2136661965032829,0.3181839882127839,-0.104517791709501,5437502288.0,6163114273.0,0.1334458261473011,6521441065.1544075,-358326792.1544075,-0.0549459526773969,,0.0,0.1334458261473011,0.1993449785844775,-0.0658991524371764,0.1252623963718342,0.1817755565527932,-0.0565131601809589,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MEX_C29,MEX,2012-02,11,-0.4251936053259424,-96724502.5528838,452190377.29156095,-147906459.29156095,-0.3270889136948498,,-96724502.5528838,0.0,-0.1252608117534363,0.2999327935725061,-0.1338295072200814,0.2623125652159359,-0.3961420724360174,6351719554.0,7609506574.0,0.1980230722258365,7278544394.823685,330962179.1763153,0.0454709295187767,,0.0,0.1980230722258365,0.1459171540783811,0.0521059181474553,0.1806727584349019,0.1362053242792313,0.0444674341556705,729.2385864257812,0.0450870785433187,0.009332180276882,9.182948700537848,4.9713345832195,4.37296440049234,5.303
2011_japan_earthquake,JPN_C29,2011-03,MYS_G,MYS,2011-03,0,-0.2106116893754705,-23150866.41998755,302709546.0723554,-47347421.24135542,-0.1564120519345569,,-23150866.41998755,0.0,0.1359066049027143,0.3465182942781848,0.1274311023929044,0.2975222185740414,-0.1700911161811369,17872654882.55,21093761231.03,0.1802253985010885,19889092826.25965,1204668404.7703476,0.0605692987253706,,0.0,0.1802253985010885,0.1128225189240578,0.0674028795770307,0.1657054359067444,0.1068995976891891,0.0588058382175553,544.0996704101562,0.0923617916021237,0.0111583644016865,9.0938453252436,7.42484738326097,7.26684593389439,3.39
2011_japan_earthquake,JPN_C29,2011-03,MYS_G,MYS,2011-04,1,-0.5475710206197401,-56934039.9340932,286333977.0221264,-116439701.34112638,-0.4066569484770874,,-56934039.9340932,0.0,-0.2010527263415537,0.3465182942781863,-0.2244603246248857,0.2975222185085719,-0.5219825431334577,16223224160.397,19183961247.186,0.1824999184820823,18053569175.242676,1130392071.943325,0.0626132185259777,,0.0,0.1824999184820823,0.1128225189240611,0.0696773995580212,0.1676307724375085,0.1068995976886171,0.0607311747488914,544.0996704101562,0.0923617916021237,0.0111583644016865,9.0938453252436,7.42484738326097,7.26684593389439,3.39
2011_japan_earthquake,JPN_C29,2011-03,MYS_G,MYS,2011-05,2,-0.3849357868934859,-32879388.631440364,235221375.00585836,-67243887.78585836,-0.2858749030957905,,-32879388.631440364,0.0,-0.0384174926152986,0.3465182942781873,-0.0391749062936241,0.2975222182456072,-0.3366971245392314,16066672639.078,18284408950.245,0.1380333290523971,17879355116.947083,405053833.2979164,0.022654834620628,,0.0,0.1380333290523971,0.1128225189240618,0.0252108101283353,0.1293016226599874,0.1068995976885567,0.0224020249714307,544.0996704101562,0.0923617916021237,0.0111583644016865,9.0938453252436,7.42484738326097,7.26684593389439,3.39
2011_japan_earthquake,JPN_C29,2011-03,MYS_G,MYS,2011-06,3,-0.2124484747584416,-24022475.62067793,311390589.2311235,-49130008.8661235,-0.1577761517694991,,-24022475.620677933,0.0,0.1340698195197411,0.3465182942781827,0.1258127721404385,0.2975222186059518,-0.1717094464655133,16182926586.282,19095613517.642,0.1799851785664674,18008725127.30945,1086888390.33255,0.0603534332746481,,0.0,0.1799851785664674,0.1128225189240584,0.067162659642409,0.1655018778523711,0.1068995976885993,0.0586022801637717,544.0996704101562,0.0923617916021237,0.0111583644016865,9.0938453252436,7.42484738326097,7.26684593389439,3.39
