combo_id,events,n_events,n_rows,train_exit_code,selected_model,selected_mae,passed_train,early_stopped,rel_mae_focus,rel_mae_overall,n_eval_rows,model_dir,search_mode,round_k
a19e32f9fc0d,2011_queensland_floods|2011_thailand_floods|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,244,0,catboost,0.1994176744362747,True,True,0.230294207141682,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_a19e32f9fc0d/model,beam,6
8394fff6916a,2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs,6,220,0,catboost,0.20491248648096214,True,True,0.2315813763839343,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_8394fff6916a/model,beam,6
b69963d2ad0b,2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,238,0,catboost,0.19671429382322433,True,False,0.161209396093456,0.14981140343111363,10,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_b69963d2ad0b/model,beam,6
757f0b6b2c27,2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_brumadinho_dam_collapse,6,199,0,catboost,0.20446343531472852,True,True,0.17561208055122843,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_757f0b6b2c27/model,beam,6
2f4dda166eae,2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_saudi_aramco_attack,6,224,0,rf,0.2347769034623797,True,True,0.40547146715496996,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_2f4dda166eae/model,beam,6
6d800e1c4573,2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2020_china_covid,6,205,0,catboost,0.18968067852585493,True,True,0.2705702074081936,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_6d800e1c4573/model,beam,6
0a43b06bbac2,2011_queensland_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,162,0,gbrt,0.20799248990549027,True,True,0.2694855591251246,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_0a43b06bbac2/model,beam,6
e469533a6126,2011_queensland_floods|2012_us_droughts|2014_russia_crimea_sanctions|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,169,0,catboost,0.19042732997461195,True,True,0.25255285872343725,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_e469533a6126/model,beam,6
2d3b5131ce85,2011_queensland_floods|2012_us_droughts|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,196,0,catboost,0.20801030628451636,True,True,0.24316068170142707,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_2d3b5131ce85/model,beam,6
efec2c745ec4,2011_queensland_floods|2012_us_droughts|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,209,0,catboost,0.2070751030644543,True,True,0.1956599557122276,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_efec2c745ec4/model,beam,6
